,Nome da empresa,Estado base,Segmento de atuação,Grau de maturidade,Descrição da empresa,Telefone,E-mail
0,BioAgro Control,Acre,Agricultura e Aquicultura,Nível 2,"Localizada em terras Amazônicas, a BioAgro Control conta com o desenvolvimento de insumos microbiológicos para levar mais eficiência e vida ao campo.",(68) 99233-8010,acbioagrocontrol@gmail.com
1,Biocacau,Acre,Agricultura e Aquicultura,Protótipo,"O produto tem como matéria-prima bactérias simbióticas benéficas isoladas do cacau selvagem da Amazônia. Essas bactérias realizam um serviço ecossistêmico na natureza, fazendo a manutenção da espécie em ambiente natural. Essa tecnologia diminui a utilização de fertilizantes inorgânicos e agrotóxicos, corta gastos e reduz a utilização de químicos prejudiciais ao meio ambiente e à saúde humana.",(68) 99987-3675,Instagram:  https://www.instagram.com/biocacau_ac/
2,Bioinsumos Adubom,Acre,Agricultura e Aquicultura,Operação,"A Bioinsumos Adubom produz e oferece adubos orgânicos tradicionais provenientes de matéria orgânica de origem florestal, urbana e agroindustrial para vasos de plantas ornamentais e hortaliças.",,sergiofiuza@live.com
3,Peixe Sadio,Acre,Agricultura e Aquicultura,Protótipo,"A Peixe Sadio Consultoria tem como objetivo auxiliar os piscicultores, técnicos e a população em geral na identificação das doenças dos peixes por meio de aplicativo. A ferramenta auxiliará na identificação de parasitas e no manejo adequado do peixe parasitado, a fim de minimizar perdas econômicas nos ambientes de cultivo, bem como reduzir os danos à saúde do consumidor final, contribuindo para a segurança alimentar da população.",(68) 99984-4402,https://www.instagram.com/peixesadio
4,Amazonear,Acre,Alimentos e Bebidas,Operação,"A Amazonear reutiliza resíduos provenientes da produção do cacau e da castanha em receitas originais, visando reduzir o descarte da farinha na natureza.",(68) 99909-0729,Instagram: https://www.instagram.com/amazonear_produtos/
5,Andes e Selva,Acre,Alimentos e bebidas,,"Indústria voltada à fabricação de alimentos saudáveis, unindo o que há de melhor das montanhas andinas à selva amazônica. Alimentos com alto valor nutricional, sabor exótico e valor mais acessível.",(68) 99915-0095,https://Instagram.com/andeseselva
6,Casacre da Amazônia,Acre,Prototipagem,,"A Casacre da Amazônia desenvolve produtos lácteos de origem vegetal, atuando na sustentabilidade, extrativismo e cooperativismo.",(68) 99235-8787,https://instagram.com/casacredaamazonia
7,COOPERAR,Acre,Alimentos e Bebidas,Protótipo,"A cooperativa promove atividades produtivas sustentáveis que conciliam a geração de trabalho e renda e a conservação da floresta. Um dos produtos desenvolvidos é o vinagre de cacau selvagem da Amazônia, que proporciona a diminuição do resíduo agroextrativista.",(97) 98802-0788,Instagram: https://www.instagram.com/cooperarcomercial/
8,Duque Sustentabilidade,Acre,Bioenergia e Biocombustíveis,Operação,"A Duque Sustentabilidade trabalha com soluções para reciclagem de óleos e gorduras vegetais usados, vencidos e óleos com acidez alta e/ou de refugo gerados durante processos de produção ou em cozinhas industriais, visando qualidade de vida para a atual e futura geração.",(68) 99994-5355,Instagram: https://www.instagram.com/duquesustentabilidadeac/
9,Bambuzini,Acre,Casa e Construção,Operação,A iniciativa aplica práticas sustentáveis de agricultura e o correto manejo do solo usando técnicas sustentáveis de apropriação de materiais renováveis e regionais como fonte de renda e polo gerador de emprego.,(68) 99929-3199,Instagram: https://www.instagram.com/escolabambuzini/
